tweet,sentiment
I love this product,positive
Delivery was very slow,negative
Poor quality,negative
Poor quality,negative
I hate this product,negative
Best purchase ever,positive
Worst experience ever,negative
It is decent,neutral
Worst experience ever,negative
Not worth the money,negative
The product is okay,neutral
Worst experience ever,negative
Not worth the money,negative
I hate this product,negative
This is acceptable,neutral
It works as expected,neutral
Excellent quality,positive
Completely unhappy,negative
Very happy with the service,positive
Poor quality,negative
Excellent quality,positive
Fair enough for the price,neutral
It is decent,neutral
Very disappointed,negative
Terrible customer service,negative
It works as expected,neutral
Very disappointed,negative
I hate this product,negative
Worst experience ever,negative
Terrible customer service,negative
Very disappointed,negative
Really satisfied with the results,positive
Fair enough for the price,neutral
Service was fine,neutral
Best purchase ever,positive
Really satisfied with the results,positive
Very disappointed,negative
Very disappointed,negative
Neither good nor bad,neutral
Worst experience ever,negative
This phone works great,positive
Not worth the money,negative
Very happy with the service,positive
Poor quality,negative
I hate this product,negative
Terrible customer service,negative
Not worth the money,negative
It works as expected,neutral
Worst experience ever,negative
Really satisfied with the results,positive
Fantastic support,positive
Worst experience ever,negative
I love this product,positive
Super fast delivery,positive
Amazing experience,positive
Fantastic support,positive
Completely unhappy,negative
Delivery was very slow,negative
Fantastic support,positive
Service was fine,neutral
The product is okay,neutral
This phone is bad,negative
It works as expected,neutral
Fantastic support,positive
Poor quality,negative
Fantastic support,positive
Not worth the money,negative
Not worth the money,negative
This is acceptable,neutral
Very disappointed,negative
This is acceptable,neutral
I regret buying this,negative
Really satisfied with the results,positive
I regret buying this,negative
Very happy with the service,positive
This is acceptable,neutral
I love this product,positive
I regret buying this,negative
Delivery was very slow,negative
Worst experience ever,negative
Best purchase ever,positive
This is acceptable,neutral
Super fast delivery,positive
Excellent quality,positive
I regret buying this,negative
The product is okay,neutral
Best purchase ever,positive
This phone works great,positive
Super fast delivery,positive
Completely unhappy,negative
I hate this product,negative
Super fast delivery,positive
The product is okay,neutral
Worst experience ever,negative
Completely unhappy,negative
This phone is bad,negative
Fantastic support,positive
This phone works great,positive
Fantastic support,positive
Super fast delivery,positive
This phone works great,positive
Really satisfied with the results,positive
Normal quality,neutral
Service was fine,neutral
Service was fine,neutral
It is decent,neutral
Really satisfied with the results,positive
Delivery was very slow,negative
Super fast delivery,positive
Service was fine,neutral
Very happy with the service,positive
Delivery was very slow,negative
Fantastic support,positive
Poor quality,negative
Super fast delivery,positive
Average experience,neutral
Highly recommend this,positive
Poor quality,negative
Very disappointed,negative
Not worth the money,negative
Super fast delivery,positive
Highly recommend this,positive
Really satisfied with the results,positive
This phone works great,positive
Very disappointed,negative
This phone works great,positive
This phone works great,positive
Very happy with the service,positive
I hate this product,negative
Service was fine,neutral
Fair enough for the price,neutral
I hate this product,negative
I hate this product,negative
Excellent quality,positive
Very happy with the service,positive
Terrible customer service,negative
Worst experience ever,negative
Very happy with the service,positive
I hate this product,negative
This phone works great,positive
Terrible customer service,negative
Really satisfied with the results,positive
Service was fine,neutral
Poor quality,negative
Very happy with the service,positive
Super fast delivery,positive
Normal quality,neutral
Normal quality,neutral
I hate this product,negative
Delivery was very slow,negative
Very disappointed,negative
Service was fine,neutral
Very happy with the service,positive
Super fast delivery,positive
Terrible customer service,negative
Very disappointed,negative
I love this product,positive
Worst experience ever,negative
Neither good nor bad,neutral
It works as expected,neutral
Very happy with the service,positive
Service was fine,neutral
Terrible customer service,negative
Terrible customer service,negative
It works as expected,neutral
Fantastic support,positive
Really satisfied with the results,positive
Service was fine,neutral
I love this product,positive
Average experience,neutral
Completely unhappy,negative
The product is okay,neutral
The product is okay,neutral
Super fast delivery,positive
This phone works great,positive
Completely unhappy,negative
It works as expected,neutral
Really satisfied with the results,positive
I love this product,positive
Poor quality,negative
Very happy with the service,positive
